cell_id,step,time,mother_maturity,daughter_maturity,mtoc_activity,cilium_present,phase,cycle_progress,cycle_count,growth_signal,stress_level
4294967296,161,8.050000,1.000000,0.080500,0.979875,0,G1,0.568129,0,0.900000,0.000000
4294967297,161,8.050000,1.000000,0.080500,0.979875,0,G1,0.830904,0,0.900000,0.006505
4294967298,161,8.050000,1.000000,0.080500,0.979875,0,S,0.396396,0,0.900000,0.001728
4294967299,161,8.050000,1.000000,0.080500,0.979875,0,G1,0.547303,0,0.900000,0.013090
4294967300,161,8.050000,1.000000,0.080500,0.979875,0,S,0.220667,0,0.900000,0.008084
4294967301,161,8.050000,1.000000,0.080500,0.979875,0,S,0.058723,0,0.900000,0.013195
4294967302,161,8.050000,1.000000,0.080500,0.979875,0,S,0.501435,0,0.900000,0.012633
4294967303,161,8.050000,1.000000,0.080500,0.979875,0,S,0.069970,0,0.900000,0.009789
4294967304,161,8.050000,1.000000,0.080500,0.979875,1,G1,0.113808,0,0.900000,0.021708
4294967305,161,8.050000,1.000000,0.080500,0.979875,0,G1,0.000000,0,0.900000,0.012134
4294967296,171,8.550000,1.000000,0.085500,0.978625,0,G1,0.659378,0,0.900000,0.001032
4294967297,171,8.550000,1.000000,0.085500,0.978625,0,G1,0.916442,0,0.900000,0.010991
4294967298,171,8.550000,1.000000,0.085500,0.978625,0,S,0.513384,0,0.900000,0.002937
4294967299,171,8.550000,1.000000,0.085500,0.978625,0,G1,0.636746,0,0.900000,0.004098
4294967300,171,8.550000,1.000000,0.085500,0.978625,0,S,0.336443,0,0.900000,0.003658
4294967301,171,8.550000,1.000000,0.085500,0.978625,0,S,0.173955,0,0.900000,0.012267
4294967302,171,8.550000,1.000000,0.085500,0.978625,0,S,0.618179,0,0.900000,0.002317
4294967303,171,8.550000,1.000000,0.085500,0.978625,0,S,0.186740,0,0.900000,0.009751
4294967304,171,8.550000,1.000000,0.085500,0.978625,1,G1,0.200402,0,0.900000,0.019142
4294967305,171,8.550000,1.000000,0.085500,0.978625,0,G1,0.000000,0,0.900000,0.010188
4294967296,181,9.050000,1.000000,0.090500,0.977375,0,G1,0.746230,0,0.900000,0.007251
4294967297,181,9.050000,1.000000,0.090500,0.977375,0,S,0.000000,0,0.900000,0.010763
4294967298,181,9.050000,1.000000,0.090500,0.977375,0,S,0.629291,0,0.900000,0.008786
4294967299,181,9.050000,1.000000,0.090500,0.977375,0,G1,0.726772,0,0.900000,0.001567
4294967300,181,9.050000,1.000000,0.090500,0.977375,0,S,0.452767,0,0.900000,0.006403
4294967301,181,9.050000,1.000000,0.090500,0.977375,0,S,0.291929,0,0.900000,0.014077
4294967302,181,9.050000,1.000000,0.090500,0.977375,0,S,0.735831,0,0.900000,0.001896
4294967303,181,9.050000,1.000000,0.090500,0.977375,0,S,0.303465,0,0.900000,0.014674
4294967304,181,9.050000,1.000000,0.090500,0.977375,1,G1,0.292197,0,0.900000,0.021483
4294967305,181,9.050000,1.000000,0.090500,0.977375,0,G1,0.089955,0,0.900000,0.013862
4294967296,191,9.550000,1.000000,0.095500,0.976125,0,G1,0.835560,0,0.900000,0.013129
4294967297,191,9.550000,1.000000,0.095500,0.976125,0,S,0.114294,0,0.900000,0.019737
4294967298,191,9.550000,1.000000,0.095500,0.976125,0,S,0.746960,0,0.900000,0.008768
4294967299,191,9.550000,1.000000,0.095500,0.976125,0,G1,0.810540,0,0.900000,0.000000
4294967300,191,9.550000,1.000000,0.095500,0.976125,0,S,0.569276,0,0.900000,0.005906
4294967301,191,9.550000,1.000000,0.095500,0.976125,0,S,0.406517,0,0.900000,0.013792
4294967302,191,9.550000,1.000000,0.095500,0.976125,0,S,0.851922,0,0.900000,0.004094
4294967303,191,9.550000,1.000000,0.095500,0.976125,0,S,0.418722,0,0.900000,0.025054
4294967304,191,9.550000,1.000000,0.095500,0.976125,1,G1,0.378185,0,0.900000,0.018163
4294967305,191,9.550000,1.000000,0.095500,0.976125,0,G1,0.177444,0,0.900000,0.012984
