parameter,base_value,delta_lifespan_hi,delta_lifespan_lo,delta_damage60_hi,delta_damage60_lo,delta_frailty70_hi,delta_frailty70_lo
midlife_multiplier,1.600000,-12.9665,38.2368,0.1037,-0.1023,-0.9189,-0.1331
senescence_threshold,0.750000,0.0000,-31.1869,0.0000,-0.4806,0.0000,-0.9189
cep89_loss_rate,0.008400,-2.6530,12.9774,0.0397,-0.0395,0.0251,-0.0413
ninein_loss_rate,0.008400,-2.6530,12.9774,0.0397,-0.0395,0.0251,-0.0413
cep170_loss_rate,0.006700,-6.8912,12.3066,0.0316,-0.0315,0.0302,-0.0327
cep164_loss_rate,0.011300,-0.1396,7.2526,0.0233,-0.0531,0.0008,-0.0555
aggregation_rate,0.005900,-4.0383,3.0801,0.0279,-0.0278,0.0234,-0.0267
ros_feedback_coeff,0.120000,-1.3470,1.4155,0.0079,-0.0077,0.0054,-0.0059
base_ros_damage_rate,0.007600,-0.7064,0.6571,0.0091,-0.0090,0.0040,-0.0039
phospho_dysreg_rate,0.004200,-0.7036,0.6708,0.0198,-0.0198,0.0047,-0.0047
acetylation_rate,0.005900,-0.6023,0.5832,0.0279,-0.0278,0.0037,-0.0037
